Timestamp,Score,Name
1687967033,29600,ldgenius
1687976826,15000,exxd
1687984689,38300,ldgeinus
1687990992,47700,Neclor
1688196479,119800,Panda
1688175550,600,تستخدم
1688176001,300,每頁左上角的連結隨時
1688176114,1200," ┤"
1688176189,900," ┤♀"
1688176229,300,🔴
1688176261,1800,😜
1688176660,6600,выдох Вейдера
1688190796,41600,<><
1688491149,100,a b
1688491313,300,a+b%
1688495776,3400,Tal
1688533051,100,Бебра
1688546131,100100,mästare mördare
1688760861,32000,андрюша
1689237268,60400,Prince Pensii
1689596248,17600,mr puten
1690013540,78400,bobik
1691272638,9800,санёк
1691272815,300," санёк"
1694220466,31700,Bo$$
1695841126,1000,ывфвф
1695844533,600,dadad
1700076246,56600,Zephyr
1700075687,9500,иди н
1700075496,17300,MiTm
1700076568,18400,Chlen
1701035836,13400,neclor top
1704666127,19000,Talkafk
1706636369,51500,тупиест
1707055868,26300,tak0e
1715109049,7700,Blastor_chan
1715850258,16500,ПДК Айзек
1717787347,19100,неклориус
1717919929,3000,klj
1718552979,3100,Polar4ikFemboy
1719234248,32200,__pahlava
1726119548,16800,Polar4ik
1729339086,19200,dragonlol
1727096194,1000,test
1727184883,23500,tyghj
1731493803,19300,ddasdadse333
1735429329,500,Tom Hoang
1735829596,1400,Tom
1735944825,600,TLH
1736380233,21900,Sol
1736599002,24200,Sal
1737035038,17900,Lox
1759997435,28000,rolcen
